# Time (sec),Drain (A),Drain (V)
285.183,0.000543739,2.0
285.633,0.000543514,2.0
286.073,0.000543623,2.0
286.513,0.000543538,2.0
286.973,0.000543202,2.0
287.433,0.000543069,2.0
287.863,0.000543256,2.0
288.322,0.000543064,2.0
288.772,0.000542756,2.0
289.232,0.000543069,2.0
289.682,0.000542786,2.0
290.212,0.000542901,2.0
290.672,0.000542443,2.0
291.122,0.000542189,2.0
291.592,0.000542155,2.0
292.052,0.000541853,2.0
292.512,0.00054216,2.0
292.972,0.000542333,2.0
293.432,0.000541999,2.0
293.892,0.000541865,2.0
294.332,0.000541904,2.0
294.812,0.000541494,2.0
295.262,0.000541335,2.0
295.742,0.000541512,2.0
296.192,0.000541283,2.0
296.672,0.000541151,2.0
297.142,0.000541381,2.0
297.602,0.000540769,2.0
298.072,0.000540794,2.0
298.532,0.000540632,2.0
299.002,0.000540239,2.0
299.452,0.000540266,2.0
299.912,0.000540043,2.0
300.372,0.000539886,2.0
300.852,0.000539956,2.0
301.302,0.000539737,2.0
301.772,0.000539846,2.0
302.242,0.000539876,2.0
302.682,0.000539824,2.0
303.142,0.000539836,2.0
303.592,0.000539972,2.0
304.052,0.000539615,2.0
304.521,0.000539583,2.0
304.981,0.00053947,2.0
305.481,0.0005392,2.0
305.971,0.000539446,2.0
306.461,0.000539109,2.0
306.951,0.000539184,2.0
307.421,0.00053899,2.0
307.881,0.000538881,2.0
308.331,0.000538994,2.0
308.781,0.000538944,2.0
309.251,0.000538687,2.0
309.731,0.000538726,2.0
310.191,0.000538714,2.0
310.671,0.000538559,2.0
311.111,0.000538586,2.0
311.581,0.00053879,2.0
312.021,0.000538479,2.0
312.481,0.000538677,2.0
312.921,0.000538523,2.0
313.381,0.000538368,2.0
313.831,0.000538129,2.0
314.291,0.000538348,2.0
314.741,0.000538419,2.0
315.181,0.000538101,2.0
315.641,0.000537963,2.0
316.121,0.000538107,2.0
316.571,0.000537852,2.0
317.041,0.000537726,2.0
317.511,0.000537567,2.0
317.981,0.00053758,2.0
318.441,0.000537395,2.0
318.911,0.000537533,2.0
319.371,0.000537446,2.0
319.811,0.000537474,2.0
320.271,0.000537189,2.0
320.791,0.000537387,2.0
321.270,0.000537412,2.0
321.710,0.000537419,2.0
322.150,0.000537252,2.0
322.620,0.000537243,2.0
323.080,0.000537128,2.0
323.550,0.00053721,2.0
323.990,0.000537279,2.0
324.460,0.000537138,2.0
324.930,0.000536902,2.0
325.370,0.000537118,2.0
325.820,0.000536815,2.0
326.260,0.000537115,2.0
326.720,0.000536714,2.0
327.210,0.00053642,2.0
327.650,0.000536516,2.0
328.100,0.000536435,2.0
328.580,0.000536271,2.0
329.030,0.00053612,2.0
329.510,0.000536281,2.0
329.960,0.000536307,2.0
330.420,0.000536225,2.0
330.860,0.000536284,2.0
331.300,0.000536,2.0
331.780,0.000535884,2.0
332.240,0.000535661,2.0
332.710,0.000535802,2.0
333.180,0.000536048,2.0
333.640,0.000535768,2.0
334.120,0.000535855,2.0
334.610,0.000535579,2.0
335.070,0.000535272,2.0
335.550,0.000535147,2.0
336.060,0.00053538,2.0
336.530,0.000535058,2.0
337.000,0.000535407,2.0
337.489,0.000535164,2.0
337.989,0.000535103,2.0
338.449,0.000534927,2.0
338.899,0.000535015,2.0
339.399,0.000534884,2.0
339.849,0.000534893,2.0
340.309,0.000534716,2.0
340.809,0.000534641,2.0
341.289,0.000534635,2.0
341.769,0.000534534,2.0
342.239,0.000534651,2.0
342.709,0.000534401,2.0
343.179,0.000534518,2.0
343.659,0.000534196,2.0
344.149,0.000534205,2.0
344.639,0.000534375,2.0
345.109,0.000534167,2.0
345.569,0.000534079,2.0
346.029,0.000534469,2.0
346.499,0.000533729,2.0
346.949,0.000534145,2.0
347.429,0.000534015,2.0
347.889,0.000534289,2.0
348.359,0.000533975,2.0
348.849,0.000533862,2.0
349.319,0.000533906,2.0
349.769,0.0005337,2.0
350.219,0.000533675,2.0
350.689,0.000533706,2.0
351.209,0.000533388,2.0
351.689,0.000533251,2.0
352.159,0.000533541,2.0
352.629,0.000533209,2.0
353.099,0.000533463,2.0
353.589,0.000533168,2.0
354.058,0.000533358,2.0
354.548,0.000533288,2.0
355.028,0.000533069,2.0
355.518,0.000533144,2.0
356.018,0.000533339,2.0
356.508,0.000533218,2.0
356.978,0.000532895,2.0
357.448,0.000533203,2.0
357.908,0.000532825,2.0
358.378,0.000532942,2.0
358.858,0.000532759,2.0
359.328,0.000532906,2.0
359.838,0.000532776,2.0
360.338,0.000532945,2.0
360.828,0.000532845,2.0
361.318,0.000532998,2.0
361.788,0.000532744,2.0
362.268,0.00053268,2.0
362.728,0.000532638,2.0
363.208,0.000532385,2.0
363.668,0.000532412,2.0
364.078,0.000532509,2.0
364.508,0.000532339,2.0
364.918,0.000532075,2.0
365.358,0.000532157,2.0
365.768,0.000531998,2.0
366.208,0.00053195,2.0
366.638,0.000532259,2.0
367.058,0.000531909,2.0
367.478,0.000531877,2.0
